Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Rotterdam Vuurplaat;Houria Veldmeijer;06-99636345;HouriaVeldmeijer@cuvox.de;Tieflandstraat 6;Hoogvliet;woensdag 26 december 2018;Bezorgen;woensdag 26 december 2018;18:45;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;1;Ham, Chicken Kebab, Tonijn;€ 4,50;€ 11,45;€ 36,30;;€ 0,00;€ 36,30
;;;;;;;;;;Beenham;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Perfect Pepperoni;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 13,90;;;;

Maarssen;Ritchy Liebrand;06-78660198;RitchyLiebrand@armyspy.com;Zwanenkamp 61;Maarssen;donderdag 31 oktober 2019;Bezorgen;donderdag 31 oktober 2019;18:31;Perfect Pepperoni;Large Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Almere;Jefrey Groenveld;06-51892862;JefreyGroenveld@superrito.com;Zoetermeerpad 158;Almere;vrijdag 12 januari 2018;Afhalen;vrijdag 12 januari 2018;17:25;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;€ 65,70;25% korting op je bestelling;€ 16,43;€ 49,28
;;;;;;;;;;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;€ 8,95;2;;€ 0,00;€ 25,90;;;;

Haarlem Zuid;Kubra van Hilst;06-65371336;KubravanHilst@fleckens.hu;Van Riebeecklaan 87;Haarlem;zondag 16 april 2017;Afhalen;zondag 16 april 2017;19:39;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 6,95;€ 6,95;;€ 0,00;€ 6,95

Arnhem Centrum;Len Theunisse;06-76570966;LenTheunisse@fleckens.hu;Sint Antonielaan 92;Arnhem;zondag 26 mei 2019;Afhalen;zondag 26 mei 2019;19:32;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 19,90;€ 54,75;;€ 0,00;€ 54,75
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Tricolore;Medium Cheesy Crust Pizza;Creme Fraiche;€ 8,95;2;Pepperoni, Kaas;€ 2,00;€ 25,90;;;;

Papendrecht;Adriana van Zetten;06-65321506;AdrianavanZetten@armyspy.com;Nachtegaalstraat 9;Papendrecht;zaterdag 9 september 2017;Afhalen;zaterdag 9 september 2017;20:52;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;€ 34,75;;€ 0,00;€ 34,75
;;;;;;;;;;Caprese;Medium Pizza;Tomatensaus;€ 4,95;2;Paprikamix;€ 1,00;€ 11,90;;;;
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;2;;€ 0,00;€ 11,90;;;;

Helmond;Thijm Verwoerd;06-97771224;ThijmVerwoerd@einrot.com;Spinsterhof 122;Helmond;zondag 17 december 2017;Afhalen;zondag 17 december 2017;16:30;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 9,95;€ 21,90;2e pizza gratis bij afhalen;€ 6,95;€ 14,95
;;;;;;;;;;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;

Alphen aan den Rijn;Dewi den Hartog;06-37379831;DewidenHartog@jourrapide.com;Hooftstraat 72;Alphen aan den Rijn;donderdag 11 april 2019;Bezorgen;donderdag 11 april 2019;20:00;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Wageningen;Noureddine van der Zande;06-70712326;NoureddinevanderZande@superrito.com;Kees Mulderweg 89;Wageningen;zondag 29 juli 2018;Bezorgen;zondag 29 juli 2018;19:24;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;€ 6,95;2;;€ 0,00;€ 17,90;€ 17,90;2e pizza gratis bij afhalen;€ 0,00;€ 17,90

