Mario bestellingen;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra IngrediÇ®nten;Prijs Extra IngrediÇ®nten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Middelburg;Johny ten Brinke;06-25480284;JohnytenBrinke@armyspy.com;Hooge Meestraat 88;Middelburg;woensdag 5 juni 2019;Bezorgen;woensdag 5 juni 2019;20:05;Creamy Bacon;Family XXL Pizza;Creme Fraiche;ƒ?ª 7,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 29,90;ƒ?ª 73,70;;ƒ?ª 0,00;ƒ?ª 73,70
;;;;;;;;;;Shoarma;Italian Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;4;;ƒ?ª 0,00;ƒ?ª 43,80;;;;
;;;;;;;;;;;;;;;;;;;;;;
Amersfoort;Delal Eisses;06-51836739;DelalEisses@superrito.com;Haydnstraat 78;Amersfoort;maandag 30 april 2018;Afhalen;maandag 30 april 2018;20:59;Extravaganzza;Medium Pizza;Tomatensaus;ƒ?ª 7,95;;2;;ƒ?ª 0,00;ƒ?ª 15,90;ƒ?ª 72,55;;ƒ?ª 0,00;ƒ?ª 72,55
;;;;;;;;;;Shoarma;Italian Pizza;Tomatensaus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 8,95;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;ƒ?ª 6,95;;2;;ƒ?ª 0,00;ƒ?ª 15,90;;;;
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;ƒ?ª 6,95;;4;;ƒ?ª 0,00;ƒ?ª 31,80;;;;
;;;;;;;;;;;;;;;;;;;;;;
Sittard;Reduan Verdaasdonk;06-46223346;ReduanVerdaasdonk@jourrapide.com;Jos Klijnenlaan 69;Geleen;zondag 1 januari 2017;Bezorgen;zondag 1 januari 2017;20:48;Americana;Family XXL Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 27,90;ƒ?ª 72,70;25% korting op je bestelling;ƒ?ª 18,18;ƒ?ª 54,53
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;ƒ?ª 8,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 23,90;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 9,95;;;;
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 10,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Landgraaf;Kenrick Emons;06-21615619;KenrickEmons@jourrapide.com;Hovenstraat 120;Landgraaf;zaterdag 11 maart 2017;Bezorgen;zaterdag 11 maart 2017;20:03;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 23,90;ƒ?ª 23,90;;ƒ?ª 0,00;ƒ?ª 23,90
;;;;;;;;;;;;;;;;;;;;;;
Rotterdam Hoogvliet;Lahcen Vlijm;06-73567695;LahcenVlijm@gustr.com;Huniadijk 188;Rotterdam;maandag 20 november 2017;Afhalen;maandag 20 november 2017;18:33;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;ƒ?ª 6,95;;1;;ƒ?ª 0,00;ƒ?ª 11,95;ƒ?ª 30,85;;ƒ?ª 0,00;ƒ?ª 30,85
;;;;;;;;;;Tricolore;Italian Pizza;Creme Fraiche;ƒ?ª 8,95;;1;;ƒ?ª 0,00;ƒ?ª 9,95;;;;
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 8,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Emmen;Pelin Kerkvliet;06-60362204;PelinKerkvliet@jourrapide.com;Koninginnepage 157;Emmen;donderdag 22 maart 2018;Afhalen;donderdag 22 maart 2018;20:31;Americana;Medium Pizza;Tomatensaus;ƒ?ª 6,95;;2;Bacon, Gorgonzola, Merguez, Salami;ƒ?ª 4,00;ƒ?ª 21,90;ƒ?ª 21,90;;ƒ?ª 0,00;ƒ?ª 21,90
;;;;;;;;;;;;;;;;;;;;;;
Scheveningen;Deen van Wel;06-67229041;DeenvanWel@gustr.com;Dennenlaan 105;Harderwijk;dinsdag 8 mei 2018;Bezorgen;dinsdag 8 mei 2018;18:51;BBQ Cannibale;Medium Pizza;Barbecue Saus;ƒ?ª 4,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 13,90;ƒ?ª 13,90;;ƒ?ª 0,00;ƒ?ª 13,90
;;;;;;;;;;;;;;;;;;;;;;
Eindhoven Gestel;Huy Bovens;06-37388259;HuyBovens@rhyta.com;Bergen op Zoomstraat 170;Eindhoven;donderdag 22 juni 2017;Bezorgen;donderdag 22 juni 2017;20:34;Supreme;Medium Pizza;Barbecue Saus;ƒ?ª 7,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 19,90;ƒ?ª 91,60;;ƒ?ª 0,00;ƒ?ª 91,60
;;;;;;;;;;Bacon Gorgonzola;Large Pizza;Tomatensaus;ƒ?ª 8,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 29,90;;;;
;;;;;;;;;;Hawaii;Italian Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 19,90;;;;
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 21,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Berkel en Rodenrijs;Vito de Bruijne;06-95232870;VitodeBruijne@cuvox.de;Huijgenslaan 143;Berkel en Rodenrijs;vrijdag 6 juli 2018;Bezorgen;vrijdag 6 juli 2018;20:57;Perfect Pepperoni;Medium Pizza;Tomatensaus;ƒ?ª 4,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 13,90;ƒ?ª 59,70;3e pizza gratis bij bezorgen;ƒ?ª 4,95;ƒ?ª 54,75
;;;;;;;;;;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 23,90;;;;
;;;;;;;;;;Caprese;Large Pizza;Tomatensaus;ƒ?ª 4,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 21,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Helmond;Tommie van Boxel;06-85698164;TommievanBoxel@teleworm.us;Helmondselaan 99;Helmond;woensdag 17 april 2019;Afhalen;woensdag 17 april 2019;18:21;Tonno;Italian Pizza;Tomatensaus;ƒ?ª 6,95;;1;;ƒ?ª 0,00;ƒ?ª 7,95;ƒ?ª 7,95;;ƒ?ª 0,00;ƒ?ª 7,95
;;;;;;;;;;;;;;;;;;;;;;
Rotterdam Schiebroek;Keenan van der Maat;06-88539264;KeenanvanderMaat@dayrep.com;Oude Watering 46;Rotterdam;dinsdag 13 maart 2018;Afhalen;dinsdag 13 maart 2018;20:09;Shoarma;Family XXL Pizza;Tomatensaus;ƒ?ª 7,95;;4;;ƒ?ª 0,00;ƒ?ª 51,80;ƒ?ª 51,80;;ƒ?ª 0,00;ƒ?ª 51,80
;;;;;;;;;;;;;;;;;;;;;;
Maarssen;Nica Brakel;06-74430429;NicaBrakel@teleworm.us;Straatweg 116;Maarssen;zondag 24 maart 2019;Afhalen;zondag 24 maart 2019;19:52;Funghi;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 4,95;;1;;ƒ?ª 0,00;ƒ?ª 6,95;ƒ?ª 22,85;;ƒ?ª 0,00;ƒ?ª 22,85
;;;;;;;;;;Supreme;Medium Pizza;Barbecue Saus;ƒ?ª 7,95;;2;;ƒ?ª 0,00;ƒ?ª 15,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Rotterdam Noord;Christopher den Hartigh;06-20859313;ChristopherdenHartigh@gustr.com;Tijmweg 196;Hoogvliet;donderdag 17 januari 2019;Bezorgen;donderdag 17 januari 2019;19:30;Americana;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 21,90;ƒ?ª 43,80;3e pizza gratis bij bezorgen;ƒ?ª 0,00;ƒ?ª 43,80
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 21,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
