Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Den Haag Oude Haagweg;Akkelien Tosun;06-99142287;AkkelienTosun@rhyta.com;Raadhuisstraat 143;Hulsberg;donderdag 6 ju ni 2019;Bezorgen;donderdag 6 juni 2019;16:16;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 9,95;€ 60,75;;€ 0,00;€ 60,75
;;;;;;;;;;Shoarma;Large Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;1;Gehakt, Gorgonzola, Rode Ui;€ 3,00;€ 15,95;;;;

Haarlem Tesselschadeplein;Bashir Vrieswijk;06-13502355;BashirVrieswijk@teleworm.us;Meester Jan Gerritszlaan 106;Haarlem;dinsdag 21 maart 2017;Bezorgen;dinsdag 21 maart 2017;18:37;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;€ 23,90;;€ 0,00;€ 23,90

Haarlem Zuid;Loretta van der Stel;06-21006034;LorettavanderStel@armyspy.com;Gouwstraat 103;Haarlem;woensdag 22 november 2017;Bezorgen;woensdag 22 november 2017;16:11;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 8,95;€ 16,90;;€ 0,00;€ 16,90
;;;;;;;;;;Americana;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;;;;

Roosendaal;Jens Kromhout;06-18933927;JensKromhout@armyspy.com;Panneboeter 28;Roosendaal;maandag 4 december 2017;Bezorgen;maandag 4 december 2017;18:44;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;2;;€ 0,00;€ 17,90;€ 56,65;;€ 0,00;€ 56,65
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Caprese;Large Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 15,90;;;;

Vlaardingen;Rewien Colenbrander;06-90389602;RewienColenbrander@cuvox.de;Doctor Wiardi Beckmansingel 116;Vlaardingen;woensdag 27 september 2017;Bezorgen;woensdag 27 september 2017;20:25;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;€ 69,65;;€ 0,00;€ 69,65
;;;;;;;;;;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;2;Gorgonzola, Merguez, Ananas, Salami;€ 4,00;€ 23,90;;;;

Amsterdam Noord;Junior Westeneng;06-82749541;JuniorWesteneng@superrito.com;Gerardus van der Groeplaan 42;Amsterdam;dinsdag 7 augustus 2018;Afhalen;dinsdag 7 augustus 2018;18:57;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 13,90;€ 73,65;;€ 0,00;€ 73,65
;;;;;;;;;;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;3;Merguez, Chorizo, Pepperoni, Gehakt;€ 4,00;€ 41,85;;;;
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;

Hellevoetsluis;Cristian Wolfs;06-17089665;CristianWolfs@rhyta.com;Distelstraat 43;Hellevoetsluis;dinsdag 24 april 2018;Afhalen;dinsdag 24 april 2018;19:20;Veggi;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;€ 62,70;2e pizza gratis bij afhalen;€ 6,95;€ 55.75
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Bacon Gorgonzola;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;2;;€ 0,00;€ 21,90;;;;

Enschede;Tuan Hollenberg;06-66067673;TuanHollenberg@rhyta.com;Boddenkampsingel 114;Enschede;maandag 27 februari 2017;Bezorgen;maandag 27 februari 2017;19:22;Funghi;Large Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 17,90;€ 73,60;;€ 0,00;€ 73,60
;;;;;;;;;;Tonno;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Supreme;Medium Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Funghi;Large Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 17,90;;;;

Hoorn;Erick Schoormans;06-48358299;ErickSchoormans@einrot.com;Boedijnhof 61;Hoorn;maandag 1 oktober 2018;Bezorgen;maandag 1 oktober 2018;18:52;Americana;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;€ 56,70;;€ 0,00;€ 56,70
;;;;;;;;;;Shoarma;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;

Ede;Hazal Pasma;06-74357765;HazalPasma@einrot.com;Weerdestein 167;Ede;vrijdag 4 augustus 2017;Bezorgen;vrijdag 4 augustus 2017;17:30;Beenham;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;€ 15,90;;€ 0,00;€ 15,90

Rotterdam Vuurplaat;Indiana Veuger;06-64880557;IndianaVeuger@gustr.com;Breedveldsingel 189;Rotterdam;zondag 29 april 2018;Bezorgen;zondag 29 april 2018;20:00;Tonno;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;€ 55,70;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 53,70
;;;;;;;;;;Shoarma;Family XXL Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;;;;

Geleen;Ayla Geleijnse;06-18640492;AylaGeleijnse@superrito.com;Maria van Bourgondiestraat 126;Sittard;zondag 3 november 2019;Bezorgen;zondag 3 november 2019;18:20;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;€ 17,90;2e pizza gratis bij afhalen;€ 0,00;€ 17,90

Venlo;Konrad Teeuwen;06-67968459;KonradTeeuwen@gustr.com;Mulgouwsingel 183;Tegelen;zaterdag 20 juli 2019;Bezorgen;zaterdag 20 juli 2019;20:43;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 19,90;€ 32,85;;€ 0,00;€ 32,85
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 12,95;;;;

Oosterhout;Donovan Francis;06-67835604;DonovanFrancis@teleworm.us;Jacob Catslaan 17;Oosterhout;zaterdag 2 november 2019;Bezorgen;zaterdag 2 november 2019;16:19;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;€ 41,80;3e pizza gratis bij bezorgen;€ 0,00;€ 41,80
;;;;;;;;;;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 19,90;;;;

Zwolle Bachplein;Ylva Neef;06-27008259;YlvaNeef@rhyta.com;Zuiderzeelaan 131;Zwolle;vrijdag 13 december 2019;Afhalen;vrijdag 13 december 2019;17:49;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;€ 26,85;2e pizza gratis bij afhalen;€ 6,95;€ 19,90
;;;;;;;;;;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

